date,code,pct_chg,close
2020-11-27,000905.SH,0.00273211,6351.61
2020-11-30,000852.SH,-0.00292304,6622.36
2020-11-30,000905.SH,-0.00482901,6320.94
2020-12-01,000852.SH,0.0137219,6713.23
2020-12-01,000905.SH,0.0167184,6426.62
2020-12-02,000852.SH,0.00334886,6735.71
2020-12-02,000905.SH,0.00130146,6434.98
2020-12-03,000852.SH,-0.00354366,6711.84
2020-12-03,000905.SH,0.000917019,6440.88
2020-12-04,000852.SH,0.00518287,6746.63
2020-12-04,000905.SH,0.00370275,6464.73
2020-12-07,000852.SH,-0.0020199,6733.0
2020-12-07,000905.SH,-0.00619592,6424.68
2020-12-08,000852.SH,0.000203475,6734.37
2020-12-08,000905.SH,-0.000160631,6423.65
2020-12-09,000852.SH,-0.0195795,6602.52
2020-12-09,000905.SH,-0.0181254,6307.22
2020-12-10,000852.SH,0.000405133,6605.19
2020-12-10,000905.SH,0.00204195,6320.1
2020-12-11,000852.SH,-0.0161922,6498.24
2020-12-11,000905.SH,-0.0175102,6209.43
2020-12-14,000852.SH,0.012092,6576.82
2020-12-14,000905.SH,0.00798673,6259.02
2020-12-15,000852.SH,0.00299338,6596.5
2020-12-15,000905.SH,0.00104841,6265.58
2020-12-16,000852.SH,-0.00805587,6543.36
2020-12-16,000905.SH,-0.00481073,6235.44
2020-12-17,000852.SH,0.00832862,6597.86
2020-12-17,000905.SH,0.0117819,6308.9
2020-12-18,000852.SH,-0.00370666,6573.4
2020-12-18,000905.SH,-0.00269159,6291.92
2020-12-21,000852.SH,0.0179792,6691.59
2020-12-21,000905.SH,0.0169554,6398.6
2020-12-22,000852.SH,-0.0211637,6549.97
2020-12-22,000905.SH,-0.0232143,6250.06
2020-12-23,000852.SH,0.00782805,6601.24
2020-12-23,000905.SH,0.00920615,6307.6
2020-12-24,000852.SH,-0.0158935,6496.33
2020-12-24,000905.SH,-0.0162318,6205.22
2020-12-25,000852.SH,0.0099978,6561.27
2020-12-25,000905.SH,0.0118086,6278.5
2020-12-28,000852.SH,-0.00637125,6519.47
2020-12-28,000905.SH,-0.00541817,6244.48
2020-12-29,000852.SH,-0.00647441,6477.26
2020-12-29,000905.SH,-0.00714743,6199.85
2020-12-30,000852.SH,0.00766015,6526.88
2020-12-30,000905.SH,0.0111935,6269.25
2020-12-31,000852.SH,0.0183235,6646.47
2020-12-31,000905.SH,0.0156098,6367.11
2021-01-04,000852.SH,0.022913,6798.76
2021-01-04,000905.SH,0.0181676,6482.79
2021-01-05,000852.SH,0.0012771,6807.45
2021-01-05,000905.SH,0.00878372,6539.73
2021-01-06,000852.SH,-0.0121186,6724.95
2021-01-06,000905.SH,-0.00177255,6528.14
2021-01-07,000852.SH,-0.0161188,6616.55
