scenario,description,max_turnover,buffer_multiplier,cost_bps,periods,avg_turnover,avg_baseline_overlap,avg_similarity,avg_rank,avg_retained_outside_candidate_count,gross_final_nav,gross_annual_return,gross_sharpe_ratio,gross_max_drawdown,net_final_nav,net_annual_return,net_sharpe_ratio,net_max_drawdown,annual_return_drag
tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,5,301,0.2990033222591362,0.5069767441860465,0.24581105364623473,21.73541824602982,22.046511627906977,3.9489821602921316,0.26486758439263514,0.7807024393986047,-0.34603388495304355,3.7752042584329764,0.255166690821822,0.7485495423945243,-0.3497511662947693,0.009700893570813163
tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,10,301,0.2990033222591362,0.5069767441860465,0.24581105364623473,21.73541824602982,22.046511627906977,3.9489821602921316,0.26486758439263514,0.7807024393986047,-0.34603388495304355,3.6090492141307315,0.245538759444772,0.7166312071717781,-0.35353552479394357,0.019328824947863144
tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,20,301,0.2990033222591362,0.5069767441860465,0.24581105364623473,21.73541824602982,22.046511627906977,3.9489821602921316,0.26486758439263514,0.7807024393986047,-0.34603388495304355,3.2982889801936186,0.2264996354074773,0.6534914477708024,-0.3662152833483281,0.03836794898515783
tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,50,301,0.2990033222591362,0.5069767441860465,0.24581105364623473,21.73541824602982,22.046511627906977,3.9489821602921316,0.26486758439263514,0.7807024393986047,-0.34603388495304355,2.517131669565306,0.17107820411216235,0.4695276621760535,-0.40280308877788384,0.09378938028047279
tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,100,301,0.2990033222591362,0.5069767441860465,0.24581105364623473,21.73541824602982,22.046511627906977,3.9489821602921316,0.26486758439263514,0.7807024393986047,-0.34603388495304355,1.60336598271073,0.08411769084353238,0.18033407712156993,-0.4602338543398624,0.18074989354910276
tc40_buf1,"max_turnover=40%, buffer=1x",0.4,1.0,0,301,0.39847176079734214,0.6394019933554816,0.24487845186519705,20.134408945785626,18.029900332225914,5.227932890760629,0.3270581259966503,0.9769571922913464,-0.34324944294731585,5.227932890760629,0.3270581259966503,0.9769571922913461,-0.34324944294731585,0.0
tc40_buf1,"max_turnover=40%, buffer=1x",0.4,1.0,5,301,0.39847176079734214,0.6394019933554816,0.24487845186519705,20.134408945785626,18.029900332225914,5.227932890760629,0.3270581259966503,0.9769571922913464,-0.34324944294731585,4.923599968849262,0.3135114228658884,0.932560743098349,-0.34822232360057315,0.013546703130761895
tc40_buf1,"max_turnover=40%, buffer=1x",0.4,1.0,10,301,0.39847176079734214,0.6394019933554816,0.24487845186519705,20.134408945785626,18.029900332225914,5.227932890760629,0.3270581259966503,0.9769571922913464,-0.34324944294731585,4.6369275222776825,0.30010033782589085,0.888595560475535,-0.35315853345644066,0.026957788170759445
tc40_buf1,"max_turnover=40%, buffer=1x",0.4,1.0,20,301,0.39847176079734214,0.6394019933554816,0.24487845186519705,20.134408945785626,18.029900332225914,5.227932890760629,0.3270581259966503,0.9769571922913464,-0.34324944294731585,4.11253652212289,0.2736797109112963,0.801942426496904,-0.3629867029752073,0.053378415085354014
tc40_buf1,"max_turnover=40%, buffer=1x",0.4,1.0,50,301,0.39847176079734214,0.6394019933554816,0.24487845186519705,20.134408945785626,18.029900332225914,5.227932890760629,0.3270581259966503,0.9769571922913464,-0.34324944294731585,2.8682890839246085,0.19753684943324346,0.5519095965077225,-0.41367488627433513,0.12952127656340684
