scenario,cost_bps,year,weeks,annual_return,net_annual_return,avg_turnover,win_rate
tc30_buf3,10,2025,51,0.3490409438002713,0.328554663999467,0.30000000000000004,0.6274509803921569
tc30_buf3,20,2020,46,0.41957691931578567,0.3817499559256119,0.2934782608695653,0.5
tc30_buf3,20,2021,52,0.6073059777029657,0.5579176782148949,0.30000000000000004,0.6538461538461539
tc30_buf3,20,2022,50,0.21450045649167238,0.1785959318389514,0.30000000000000004,0.58
tc30_buf3,20,2023,50,0.1141909102509413,0.08125185716856964,0.30000000000000004,0.5
tc30_buf3,20,2024,52,-0.05728747794296363,-0.08625456262776265,0.30000000000000004,0.5576923076923077
tc30_buf3,20,2025,51,0.3490409438002713,0.3083734759033636,0.30000000000000004,0.6274509803921569
tc30_buf3,50,2020,46,0.41957691931578567,0.32685065726545126,0.2934782608695653,0.5
tc30_buf3,50,2021,52,0.6073059777029657,0.48661379542520766,0.30000000000000004,0.6538461538461539
tc30_buf3,50,2022,50,0.21450045649167238,0.12668144658857128,0.30000000000000004,0.56
tc30_buf3,50,2023,50,0.1141909102509413,0.03362515825120527,0.30000000000000004,0.5
tc30_buf3,50,2024,52,-0.05728747794296363,-0.1280755127826243,0.30000000000000004,0.5576923076923077
tc30_buf3,50,2025,51,0.3490409438002713,0.2496162392141561,0.30000000000000004,0.6274509803921569
tc30_buf3,100,2020,46,0.41957691931578567,0.2400553021887062,0.2934782608695653,0.5
tc30_buf3,100,2021,52,0.6073059777029657,0.3748230097155236,0.30000000000000004,0.6346153846153846
tc30_buf3,100,2022,50,0.21450045649167238,0.04509458607700667,0.30000000000000004,0.54
tc30_buf3,100,2023,50,0.1141909102509413,-0.04122317786263052,0.30000000000000004,0.48
tc30_buf3,100,2024,52,-0.05728747794296363,-0.1936427258715232,0.30000000000000004,0.5
tc30_buf3,100,2025,51,0.3490409438002713,0.15738594669785821,0.30000000000000004,0.5882352941176471
tc30_buf4,0,2020,46,0.43536869391013133,0.43536869391013133,0.2934782608695653,0.5
tc30_buf4,0,2021,52,0.5857419165339088,0.5857419165339088,0.30000000000000004,0.6730769230769231
tc30_buf4,0,2022,50,0.19937467060374447,0.19937467060374447,0.30000000000000004,0.6
tc30_buf4,0,2023,50,0.11813840891690552,0.11813840891690552,0.30000000000000004,0.5
tc30_buf4,0,2024,52,-0.04252140392245096,-0.04252140392245096,0.30000000000000004,0.5576923076923077
tc30_buf4,0,2025,51,0.3511690308655664,0.3511690308655664,0.30000000000000004,0.6274509803921569
tc30_buf4,5,2020,46,0.43536869391013133,0.42571185943043055,0.2934782608695653,0.5
tc30_buf4,5,2021,52,0.5857419165339088,0.5734203221355203,0.30000000000000004,0.6730769230769231
tc30_buf4,5,2022,50,0.19937467060374447,0.19041233913958377,0.30000000000000004,0.6
tc30_buf4,5,2023,50,0.11813840891690552,0.10978311570525245,0.30000000000000004,0.5
tc30_buf4,5,2024,52,-0.04252140392245096,-0.049961241882838126,0.30000000000000004,0.5576923076923077
tc30_buf4,5,2025,51,0.3511690308655664,0.34087125464564605,0.30000000000000004,0.6274509803921569
tc30_buf4,10,2020,46,0.43536869391013133,0.41611855968820155,0.2934782608695653,0.5
tc30_buf4,10,2021,52,0.5857419165339088,0.5611926423314386,0.30000000000000004,0.6730769230769231
tc30_buf4,10,2022,50,0.19937467060374447,0.181515649124238,0.30000000000000004,0.58
tc30_buf4,10,2023,50,0.11813840891690552,0.10148901790395537,0.30000000000000004,0.5
