fold,train_start_year,train_end_year,test_start_year,scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost,train_rank
2,2021,2023,2024,p_l10_s3_b2_e1_n120_tc50_buf4,"L=10, S=3, bins=2, E=1, top_n=120, tc50_buf2",10,3,2,1,120,0.5715780136075206,0.16229443781896077,0.12887932711415773,0.668976386027694,-0.1480885509548141,-0.15153422767936053,0.9187345327557959,0.9386027863079008,0.03792104526180672,0.10577291686896166,0.2042225403681017,22
2,2021,2023,2024,p_l20_s5_b2_e1_n80_tc50_buf4,"L=20, S=5, bins=2, E=1, top_n=80, tc50_buf2",20,5,2,1,80,0.5689052309040594,0.20397931424854343,0.14661406299206514,0.9229297088457972,-0.12164433854245654,-0.12697831832640205,0.8482140115732855,0.8873711901657942,0.05901378237381506,0.13684440596725117,0.20349239584869092,23
2,2021,2023,2024,p_l40_s3_b3_e1_n100_tc50_buf4,"L=40, S=3, bins=3, E=1, top_n=100, tc50_buf2",40,3,3,1,100,0.5667173173330614,0.17371911648228744,0.14076590018725565,0.7968904809570937,-0.12317637721732365,-0.12544263452050186,0.8827033939224544,0.9130962643821553,0.04733681722923522,0.15526333890758587,0.20580097633853747,24
2,2021,2023,2024,p_l10_s10_b2_e1_n120_tc50_buf4,"L=10, S=10, bins=2, E=1, top_n=120, tc50_buf2",10,10,2,1,120,0.5514001184766065,0.1536513024179335,0.13683059996861924,0.6344595255404273,-0.13719126211396557,-0.14050271108618995,0.9086169880596984,0.933828567408521,0.03459318582885507,0.1565005888739003,0.20422445684188312,25
2,2021,2023,2024,p_l40_s10_b3_e1_n100_tc50_buf4,"L=40, S=10, bins=3, E=1, top_n=100, tc50_buf2",40,10,3,1,100,0.5502537123399074,0.1735122159513386,0.14377797399617465,0.7436763255805501,-0.12610570562177487,-0.13049370658959658,0.8808119946127739,0.9114956212345918,0.04957873504716403,0.1667395280479385,0.20123926227297162,26
2,2021,2023,2024,p_l40_s10_b2_e1_n100_tc50_buf4,"L=40, S=10, bins=2, E=1, top_n=100, tc50_buf2",40,10,2,1,100,0.5093551889512735,0.1794642092127665,0.1426192237689854,0.7567075392552883,-0.145865327970652,-0.14961633883609282,0.8797106864938639,0.90977139298939,0.050913874640331494,0.15427903320405595,0.20251983639777513,27
2,2021,2023,2024,p_l10_s5_b3_e1_n120_tc50_buf4,"L=10, S=5, bins=3, E=1, top_n=120, tc50_buf2",10,5,3,1,120,0.5008643756669412,0.14911791691111473,0.13615678908033035,0.628575432318462,-0.15311670936693078,-0.16041245892086498,0.892215586250184,0.9284941173953738,0.02851668815727143,0.09315379234953751,0.20193999993253864,28
2,2021,2023,2024,p_l10_s5_b2_e1_n120_tc50_buf4,"L=10, S=5, bins=2, E=1, top_n=120, tc50_buf2",10,5,2,1,120,0.4980933546027667,0.16060639553905273,0.13660450238119726,0.6819357788243257,-0.16354365166818233,-0.16908686266566653,0.899852930837886,0.9312841869728378,0.03105092322484324,0.13056866660064112,0.20306369100159835,29
2,2021,2023,2024,p_l40_s3_b2_e1_n100_tc50_buf4,"L=40, S=3, bins=2, E=1, top_n=100, tc50_buf2",40,3,2,1,100,0.496491061600735,0.15392723520367735,0.1229057595298908,0.6561159824492258,-0.13513686651339407,-0.1376322705959936,0.8938377390018116,0.9199333365843668,0.046583995937478515,0.10252413132069958,0.20613061218212897,30
2,2021,2023,2024,p_l40_s5_b2_e1_n100_tc50_buf4,"L=40, S=5, bins=2, E=1, top_n=100, tc50_buf2",40,5,2,1,100,0.495278324642778,0.15443199843697425,0.12964632450227587,0.6781147726085696,-0.13114013734127358,-0.13608333711409148,0.8869582028758001,0.9139730570974882,0.050561331631880174,0.1075828492915102,0.20553572162977962,31
2,2021,2023,2024,p_l40_s10_b2_e1_n80_tc50_buf4,"L=40, S=10, bins=2, E=1, top_n=80, tc50_buf2",40,10,2,1,80,0.4872595058251865,0.19556381524624208,0.15558587789795175,0.8361841961531155,-0.13981923275089958,-0.14344266422837304,0.8489991179268854,0.8834869367018512,0.068113502602608,0.15421903387599742,0.20214633391503584,32
2,2021,2023,2024,p_l20_s10_b2_e1_n120_tc50_buf4,"L=20, S=10, bins=2, E=1, top_n=120, tc50_buf2",20,10,2,1,120,0.4764421778020331,0.14196645171866226,0.11835301599096981,0.577944386230158,-0.13970086286463004,-0.14962648150654823,0.9033372708956114,0.9314555482411827,0.03377909389680573,0.1323083362367662,0.20254120383061877,33
2,2021,2023,2024,p_l10_s3_b3_e1_n100_tc50_buf4,"L=10, S=3, bins=3, E=1, top_n=100, tc50_buf2",10,3,3,1,100,0.47368313098589315,0.14791298300511813,0.11168755580906642,0.6088959133515477,-0.13611056069694122,-0.14155751102538205,0.9020033261341206,0.9256143103549009,0.04631000881471709,0.10690115807132632,0.20363529914670137,34
2,2021,2023,2024,p_l20_s10_b3_e1_n100_tc50_buf4,"L=20, S=10, bins=3, E=1, top_n=100, tc50_buf2",20,10,3,1,100,0.47050562859884604,0.150449183169971,0.12035903049241026,0.6455819361014182,-0.12470371984406992,-0.1345608536135552,0.8850923425968324,0.9148304521147907,0.04672234882574014,0.1418539491804218,0.20286192454681634,35
2,2021,2023,2024,p_l40_s5_b3_e1_n80_tc50_buf4,"L=40, S=5, bins=3, E=1, top_n=80, tc50_buf2",40,5,3,1,80,0.46679109726798895,0.17159500746191428,0.1389102263429296,0.8005284370750709,-0.11279053452975497,-0.11832523241015946,0.84744117310471,0.8844319609464896,0.06417875658042838,0.15457983063424102,0.20379354012831655,36
2,2021,2023,2024,p_l10_s5_b2_e1_n100_tc50_buf4,"L=10, S=5, bins=2, E=1, top_n=100, tc50_buf2",10,5,2,1,100,0.45676880265777203,0.16099033652688888,0.13106515013808728,0.6808110633609314,-0.1549596521920255,-0.1617667633914438,0.8858457735904773,0.9186224830245481,0.04163539138497266,0.13125252789448033,0.20334506196732305,37
