scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost
p_l10_s3_b3_e1_n120_tc50_buf4,"L=10, S=3, bins=3, E=1, top_n=120, tc50_buf2",10,3,3,1,120,0.4784861048191247,0.16961443824144837,0.14527387823685767,0.5413596887605611,-0.28224623215900846,-0.29193975086362045,0.9033842362003883,0.9339307346913555,0.02963217095749167,0.22420551990835602,0.39648408654147066
p_l40_s10_b2_e1_n80_tc50_buf4,"L=40, S=10, bins=2, E=1, top_n=80, tc50_buf2",40,10,2,1,80,0.47310852159002065,0.20299260162753893,0.16664715802276642,0.6103859089575605,-0.23989619697516457,-0.24833586687784903,0.8561763951880557,0.8943042388224431,0.0559792039753417,0.1997453834752583,0.3890101177503078
p_l20_s10_b2_e1_n80_tc50_buf4,"L=20, S=10, bins=2, E=1, top_n=80, tc50_buf2",20,10,2,1,80,0.47154860192271186,0.20124048596554545,0.16507204396117947,0.630433606753954,-0.24067573945394136,-0.2563301633581986,0.8604697962087297,0.8963884661118003,0.05492626276957044,0.21042958155023453,0.3981682146355696
p_l10_s5_b3_e1_n100_tc50_buf4,"L=10, S=5, bins=3, E=1, top_n=100, tc50_buf2",10,5,3,1,100,0.4526327871827435,0.17187245170425636,0.1484716006126976,0.5484905604744394,-0.2570379662459376,-0.27271361374273806,0.8827207425171874,0.9187501282251209,0.037279274023756394,0.20147608578400458,0.39832935500211275
p_l40_s3_b2_e1_n80_tc50_buf4,"L=40, S=3, bins=2, E=1, top_n=80, tc50_buf2",40,3,2,1,80,0.42508970997790485,0.18688087599568126,0.15714766636704502,0.5848004251907507,-0.24932928428616352,-0.2553096975972037,0.8668928210252883,0.9007787097217261,0.05437900447877358,0.20632151710354024,0.3971283765874978
p_l40_s5_b2_e1_n80_tc50_buf4,"L=40, S=5, bins=2, E=1, top_n=80, tc50_buf2",40,5,2,1,80,0.4130140275327686,0.18931551457558796,0.15585791805248017,0.5927706090931784,-0.26707769182055063,-0.2728571686926271,0.8637318205136517,0.8980456740493885,0.05602134987993891,0.17264691957845593,0.39560178865624634
p_l10_s3_b3_e1_n100_tc50_buf4,"L=10, S=3, bins=3, E=1, top_n=100, tc50_buf2",10,3,3,1,100,0.3880923805725858,0.16857998975474012,0.14377408848090378,0.5366454428502014,-0.3104732076917859,-0.3237380310738266,0.8975637820616915,0.9257464642110307,0.04029612659621537,0.22821027531747973,0.3996302801939083
p_l10_s5_b2_e1_n80_tc50_buf4,"L=10, S=5, bins=2, E=1, top_n=80, tc50_buf2",10,5,2,1,80,0.3584021532905292,0.17513907120760447,0.1477619702855888,0.5561637079290856,-0.2579488719704815,-0.27065086572483876,0.8646493542584074,0.902666199960337,0.04981400110373856,0.22503340016174608,0.39771494911736
p_l10_s5_b3_e1_n80_tc50_buf4,"L=10, S=5, bins=3, E=1, top_n=80, tc50_buf2",10,5,3,1,80,0.350006613489173,0.17645323116846284,0.14336075937543535,0.5680318396494134,-0.253011870875526,-0.26952197801746125,0.8546409529513732,0.8980093573908179,0.04750730168930265,0.20283313638788897,0.39558863880419315
p_l10_s3_b2_e1_n100_tc50_buf4,"L=10, S=3, bins=2, E=1, top_n=100, tc50_buf2",10,3,2,1,100,0.30718249428742256,0.15187263126972692,0.12426060556756413,0.4642182263818549,-0.3072495625841123,-0.3219104674729446,0.8956892979395309,0.9244670045283979,0.04125229356711809,0.20937481473961206,0.3989932210162097
p_l10_s3_b2_e1_n80_tc50_buf4,"L=10, S=3, bins=2, E=1, top_n=80, tc50_buf2",10,3,2,1,80,0.1957192251955803,0.15627043539401617,0.1301070272370317,0.48223931223331234,-0.30704876707698003,-0.32662408720971714,0.8708852994121766,0.9049092041606889,0.05409810901774778,0.2578818252396153,0.39668024261001233
p_l10_s3_b3_e1_n80_tc50_buf4,"L=10, S=3, bins=3, E=1, top_n=80, tc50_buf2",10,3,3,1,80,0.11171286830876787,0.13709402857538286,0.11047449995343617,0.4140508981246482,-0.3306223241990215,-0.34608307554555884,0.8739680542171907,0.9074163108229748,0.051820227358274656,0.21114289752020585,0.3977352703216511
